RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
132.8431927716,11.58170625874,604895085070975744,0.2612,0.1504,0.1932,0.3051,7.038,-4.108,0.307,-5.715,0.255,1.009,366.91405,0.82273,19.275955,192.01,6.4334,19.630228,243.27,7.071,18.782682,0.847546,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891328432388560,1237671124833468928,,,,,,N8X7006883,,,,132.84321140943,11.58173165775
132.84657790582,11.57339065149,604895085076931584,1.0448,0.5337,0.4515,1.1758,8.038,-0.287,1.231,-8.033,0.885,1.005,100.9592,0.72584,20.677002,69.315,7.3411,20.736473,86.421,7.4858,19.906347,0.830126,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121881328466308576,1237671124833469184,,,,,,N8X7012789,,,,132.84657920709,11.5734263531
132.84976910452,11.5806537644,604895089366706304,0.0174,0.0093,1.1393,0.0204,11.32,-10.927,0.022,-2.957,0.016,1.031,53713.66921,9.4679,13.862155,27954.0,21.193,14.222431,36715.0,37.305,13.335797,0.886634,20.14,3.79,,13.136382,0,0,0,1,1,0,0,0,1,1,0,5543.3,4.2713,-0.3046,801.0697,0.0211,,121891328498607280,1237671124833468672,,,URAT1-508147329,J085123.94+113450.3,5188402,N8X7000960,,08512395+1134504,,132.84981867649,11.58066690631
132.8488423029,11.57994398073,604895089367087232,5.1562,1.5549,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,132.8488423029,11.57994398073
132.86021017489,11.58482326688,604895123726442112,0.0474,0.0249,0.1877,0.0549,1.531,-0.681,0.057,-1.371,0.043,0.935,5132.14568,2.3929,16.41162,2872.8,11.72,16.69276,3219.3,12.731,15.978498,0.714262,,,,,0,0,0,1,0,0,0,0,1,1,0,6335.6,4.4731,-0.4043,2429.1064,0.1876,,121901328602462304,1237671124833468672,,,URAT1-508147336,J085126.44+113505.4,5188403,N8X7006899,,08512645+1135054,,132.86021326356,11.58482936231
132.85096751186,11.58577096453,604895123728017664,0.0536,0.031,0.952,0.0635,0.489,-0.443,0.068,0.207,0.056,1.181,5533.13555,3.5664,16.329939,2685.9,10.239,16.7658,4117.7,17.11,15.71125,1.05455,,,,,0,0,0,1,0,0,1,0,1,1,0,5030.9,4.4846,-0.7067,1233.8533,0.0841,,121901328510063424,1237671124833468672,,,URAT1-508147331,J085124.21+113508.7,,N8X7006902,,08512423+1135087,,132.85096952311,11.58577004553
132.82852894408,11.58823679663,604895158086185856,0.0381,0.0212,1.1293,0.0449,11.307,-11.001,0.049,-2.611,0.037,1.021,8288.7106,3.3307,15.891149,3715.4,13.282,16.41352,6515.4,12.185,15.21304,1.200481,,,,,0,0,0,1,0,0,0,0,1,1,0,4781.8,4.5447,0.0399,862.1808,0.0881,,121901328285816384,1237671124833468672,,,URAT1-508147315,J085118.85+113517.6,,N8X7006911,,08511886+1135177,,132.82857885443,11.58824840169
132.83907209352,11.58446411193,604895158086238080,0.1009,0.0548,-0.0878,0.1196,1.753,-0.357,0.129,-1.716,0.093,1.075,1656.47697,1.5306,17.639404,811.08,8.1422,18.065882,1197.1,10.133,17.05255,1.013332,,,,,0,0,0,1,0,0,0,0,1,1,0,5053.9,4.7788,-1.8357,1436.983,0.0328,,121901328391121856,1237671124833468928,,,URAT1-508147324,J085121.36+113504.0,,N8X7006895,,08512139+1135037,,132.839073713,11.58447173795
132.84352120501,11.59989384953,604895192445920512,0.4055,0.2329,0.6801,0.4837,6.727,-6.722,0.485,0.262,0.437,1.004,204.19599,0.74409,19.912249,70.304,7.2981,20.721092,220.2,6.4144,18.890848,1.830244,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121921328435480384,1237671262272226048,,,,J085122.44+113559.3,,N8X7012870,,,,132.84355170272,11.59989268525
132.76779094244,11.57402193747,604895432964103808,0.2185,0.1314,1.1918,0.2506,15.503,-12.791,0.265,-8.759,0.212,1.075,465.3526,0.92142,19.017912,126.61,6.848,20.0824,499.4,11.077,18.001783,2.080616,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121881327678529328,1237671124833468928,,,URAT1-508147263,J085104.26+113426.6,,N8X7006831,,08510429+1134265,,132.76784897284,11.57406086833
132.78261672678,11.57028277419,604895467323146240,3.4642,2.4449,,,,,,,,,78.22162,0.984,20.95405,71.775,10.608,20.698606,82.37,11.363,19.958479,0.740128,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121881327826674816,1237671124833469184,,,,J085107.82+113413.1,,N8X7012784,,,,132.78261672678,11.57028277419
132.78154815923,11.57944313854,604895467323840256,0.2133,0.1268,0.9523,0.2467,11.322,-10.884,0.262,-3.117,0.219,0.962,461.76035,0.94975,19.026325,111.99,6.9838,20.215637,521.91,7.9625,17.953909,2.261728,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891327816075824,1237671124833468928,,,URAT1-508147273,J085107.57+113445.8,,N8X7006869,,08510759+1134460,,132.78159753788,11.57945699329
132.77320498887,11.57859580585,604895467323841536,0.0398,0.0224,0.3245,0.0459,4.876,-4.489,0.05,-1.903,0.038,1.057,8144.27962,3.3316,15.910235,4833.5,11.576,16.12789,4820.8,12.815,15.540098,0.587791,,,,,0,0,0,1,0,0,0,0,1,1,0,6731.1,4.3381,-0.6578,2557.892,0.1486,,121891327732584816,1237671124833468416,,,URAT1-508147268,J085105.56+113442.9,5188406,N8X7006867,,08510558+1134430,,132.77322535538,11.57860426503
132.73942445989,11.5826101148,604895600467051776,0.1593,0.0901,1.6623,0.1829,11.149,-10.833,0.209,-2.634,0.167,5.643,12216.57894,14.113,15.469993,5624.9,13.128,15.963252,9963.6,13.883,14.751853,1.211399,,,,,0,0,0,1,0,0,0,0,1,1,0,4818.4,4.1754,-0.265,1238.963,0.2126,,121891327394359632,1237671262272225536,,,URAT1-508147238,J085057.46+113457.3,,N8X7006888,,08505748+1134574,,132.73947360907,11.58262182272
132.75704056962,11.57882967746,604895634827103232,0.94,0.466,1.6016,1.0931,5.037,1.243,1.457,-4.881,0.817,1.075,103.31228,0.6945,20.651987,44.269,9.1122,21.22329,106.42,8.6031,19.680387,1.542902,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121891327570655088,1237671262272226304,,,,,,N8X7012797,,,,132.75703493264,11.57885137279
132.76092758657,11.57970888389,604895639122534656,0.0236,0.0128,0.3569,0.0278,3.472,-2.647,0.03,-2.247,0.022,1.258,38268.83103,6.2651,14.230254,17104.0,14.283,14.755773,30090.0,18.247,13.551845,1.203928,56.98,2.53,,13.251988,0,0,0,1,1,0,0,0,1,1,0,4913.3,3.2119,-0.073,2312.2874,0.2774,,121891327609166144,1237671262272225536,,,URAT1-508147257,J085102.62+113446.9,5188411,N8X7000193,,08510263+1134469,,132.76093959592,11.57971887002
132.76351659161,11.5894238191,604895669186529792,0.4277,0.2667,1.0923,0.4995,11.548,-11.256,0.517,-2.58,0.413,1.1,185.06992,0.77352,20.019028,60.964,5.2624,20.875864,237.51,6.666,18.808697,2.067167,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121901327635737824,1237671262272226304,,,,J085103.24+113521.6,,N8X7006912,,,,132.76356765831,11.58943528426
132.77040426502,11.59210596853,604895673481330688,0.4558,0.2835,1.2329,0.5476,11.439,-11.012,0.55,-3.097,0.45,0.986,172.02968,0.76932,20.098358,68.341,7.055,20.75184,209.24,6.3405,18.946287,1.805553,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121911327704631040,1237671262272226304,,,,J085104.87+113530.7,,N8X7012844,,,,132.77045422454,11.59211973132
132.76913386767,11.58994133123,604895673482271360,0.1791,0.1043,0.4018,0.2062,20.274,-19.942,0.219,-3.654,0.174,1.053,585.40364,1.0507,18.768728,188.68,8.2611,19.649225,559.4,7.0254,17.878584,1.770641,,,,,0,0,0,0,0,0,0,0,1,0,0,3786.6,4.8482,-0.5294,941.5783,0.0173,,121901327692148432,1237671262272225792,,,URAT1-508147266,J085104.58+113523.7,,N8X7006914,,08510463+1135239,,132.769224342,11.58995757192
132.7410220045,11.58743951391,604895707842014080,0.0177,0.0095,1.0942,0.0203,10.61,-10.411,0.023,-2.045,0.017,1.072,50327.26981,10.159,13.932858,27463.0,17.706,14.241656,32749.0,14.295,13.459886,0.781771,34.46,4.69,,13.262831,0,0,0,1,1,0,0,0,0,1,0,5924.7,4.2863,-0.3309,899.3075,0.0559,,121901327411225424,1237671262272225536,,,URAT1-508147241,J085057.85+113514.7,5188410,N8X7000189,,08505786+1135148,,132.74106923967,11.58744860275
132.76036328879,11.59240575725,604895737906007296,0.1304,0.076,0.4367,0.1506,9.29,-4.209,0.159,-8.282,0.127,1.01,909.58123,1.1622,18.290262,437.06,9.4555,18.7372,675.43,7.8862,17.673952,1.063248,,,,,0,0,0,0,0,0,0,0,1,0,0,4873.1,4.7473,-0.8593,1960.4554,0.0036,,121911327604161392,1237671262272225792,,,URAT1-508147255,J085102.49+113532.4,,N8X7006925,,08510249+1135327,,132.76038238322,11.59244256779
132.75609818402,11.58963364159,604895737906321280,1.4734,0.7213,-0.0062,1.6674,4.755,-3.849,1.619,-2.791,1.394,1.133,91.72358,0.7728,20.781164,55.145,7.6057,20.984785,95.228,9.7399,19.800987,1.183798,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121901327561658096,1237671262272226304,,,,,,N8X7012838,,,,132.75611564837,11.58964604515
132.75850898543,11.60150110282,604895742201748736,0.3087,0.1772,0.9273,0.3663,5.479,-5.453,0.38,-0.528,0.286,1.031,294.59533,0.8377,19.514301,106.66,9.5651,20.26853,316.52,9.9974,18.496902,1.771627,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121921327585892288,1237671262272226048,,,,J085102.04+113605.0,,N8X7006960,,08510208+1136058,,132.75853372866,11.6015034513
132.75713104309,11.59593419826,604895742201748992,0.0562,0.0323,1.5988,0.0649,20.247,-12.93,0.071,-15.58,0.056,0.967,3878.72257,2.2384,16.715645,1313.6,9.6153,17.542393,3712.7,10.236,15.823675,1.718718,,,,,0,0,0,1,0,0,0,0,1,1,0,4156.8,4.3101,0.0855,976.1579,0.4121,,121911327571985648,1237671262272225792,,,URAT1-508147252,J085101.71+113545.3,,N8X7006938,,08510173+1135456,,132.75718970825,11.59600344434
